Airline,Year,Quarter,Passenger Revenue,RPM,ASM,Profit Sharing,Long-Term Debt,Operating Revenue,Operating Expenses,Net Income
DAL,2024,Q1,11131000000,54207000000,65542000000,125000000,15576000000,13748000000,13134000000,37000000
DAL,2024,Q2,13841000000,65241000000,74656000000,519000000,14084000000,16658000000,14391000000,1305000000
DAL,2024,Q3,13107000000,66310000000,76162000000,320000000,13881000000,15677000000,14280000000,1272000000
DAL,2024,Q4,12815000000,60387000000,72035000000,425000000,13546000000,15559000000,13842000000,843000000
DAL,2025,FY,51768000000,249578000000,298045000000,1337000000,11936000000,63364000000,57542000000,5005000000
DAL,2025,Q1,11480000000,55678000000,68401000000,124000000,12432000000,14040000000,13471000000,240000000
DAL,2025,Q2,13867000000,66417000000,77645000000,470000000,12400000000,16648000000,14546000000,2130000000
DAL,2025,Q3,13506000000,67621000000,79054000000,392000000,12299000000,16673000000,14989000000,1417000000
DAL,2025,Q4,12916000000,59861000000,72946000000,351000000,11936000000,16003000000,14536000000,1219000000
DAL,2026,Q1,12302000000,56470000000,69163000000,165000000,10608000000,15854000000,15353000000,-289000000
DAL,2026,Q2,15607000000,66767000000,78694000000,328000000,10101000000,19757000000,17893000000,1604000000
LUV,2014,FY,17658000000,108035133000,131003957000,374000000,2434000000,18605000000,16380000000,1136000000
LUV,2015,FY,18299000000,117499879000,140501409000,655000000,2541000000,19820000000,15704000000,2181000000
LUV,2016,FY,18594000000,124797986000,148522051000,645000000,2821000000,20425000000,16665000000,2244000000
LUV,2017,FY,19141000000,129041420000,153811072000,579000000,3320000000,21171000000,17656000000,3488000000
LUV,2018,FY,20455000000,133322000000,159795000000,580000000,2771000000,21965000000,18759000000,2465000000
LUV,2019,FY,20776000000,131345000000,157254000000,695000000,1846000000,22428000000,19471000000,2300000000
LUV,2020,FY,7665000000,54221000000,103456000000,0,10111000000,9048000000,12864000000,-3074000000
LUV,2021,FY,14066000000,103562000000,132006000000,230000000,10274000000,15790000000,14069000000,977000000
LUV,2022,FY,21408000000,123843000000,148467000000,127000000,8046000000,23814000000,22797000000,539000000
LUV,2023,FY,23637000000,136256000000,170323000000,110000000,7978000000,26091000000,25867000000,465000000
LUV,2024,FY,24980000000,142515000000,177250000000,103000000,5069000000,27483000000,27162000000,465000000
LUV,2024,Q1,5712000000,33087000000,42248000000,0,7974000000,6329000000,6722000000,-231000000
LUV,2024,Q2,6712000000,38221000000,46250000000,31000000,5065000000,7354000000,6956000000,367000000
LUV,2024,Q3,6250000000,36735000000,45219000000,18000000,5075000000,6870000000,6832000000,67000000
LUV,2024,Q4,6307000000,34471000000,43533000000,54000000,5069000000,6931000000,6653000000,261000000
LUV,2025,FY,25535000000,139443000000,180046000000,97000000,4577000000,28063000000,27635000000,441000000
LUV,2025,Q1,5811000000,30629000000,41432000000,0,4086000000,6428000000,6651000000,-149000000
LUV,2025,Q2,6627000000,36885000000,46996000000,14000000,4081000000,7244000000,7019000000,213000000
LUV,2025,Q3,6313000000,36362000000,45567000000,11000000,4079000000,6949000000,6914000000,54000000
LUV,2025,Q4,6785000000,35567000000,46052000000,71000000,4577000000,7442000000,7051000000,323000000
LUV,2026,Q1,6591000000,31151000000,42049000000,50000000,4536000000,7249000000,6919000000,330000000
LUV,2026,Q2,,,,,,,,
UAL,2014,FY,33762000000,205559000000,246021000000,235000000,9953000000,38901000000,36528000000,1132000000
UAL,2014,Q1,7384000000,46383000000,57216000000,0,,8696000000,9045000000,-609000000
UAL,2014,Q2,8981000000,53900000000,63214000000,78000000,,10329000000,9423000000,789000000
UAL,2014,Q3,9314000000,56065000000,65378000000,103000000,,10563000000,9372000000,924000000
UAL,2014,Q4,8083000000,49211000000,60213000000,54000000,9953000000,9313000000,8688000000,28000000
UAL,2015,FY,32785000000,208611000000,250003000000,698000000,9673000000,37864000000,32698000000,7340000000
UAL,2015,Q1,7420000000,46444000000,57269000000,100000000,,8608000000,7867000000,508000000
UAL,2015,Q2,8676000000,54289000000,64685000000,195000000,,9914000000,8469000000,1193000000
UAL,2015,Q3,8960000000,57160000000,66745000000,257000000,,10306000000,8407000000,4816000000
UAL,2015,Q4,7729000000,50718000000,61304000000,146000000,9673000000,9036000000,7955000000,823000000
UAL,2016,FY,31457000000,210309000000,253590000000,628000000,9918000000,36556000000,32218000000,2263000000
UAL,2016,Q1,6990000000,46582000000,58273000000,94000000,,8195000000,7546000000,313000000
UAL,2016,Q2,8103000000,54017000000,64725000000,153000000,,9396000000,8336000000,588000000
UAL,2016,Q3,8603000000,58172000000,68074000000,235000000,,9913000000,8289000000,965000000
UAL,2016,Q4,7761000000,51538000000,62518000000,145000000,9918000000,9052000000,8047000000,397000000
UAL,2017,FY,32404000000,216261000000,262386000000,349000000,11703000000,37736000000,34238000000,2131000000
UAL,2017,Q1,7174000000,47611000000,59808000000,28000000,,8420000000,8142000000,96000000
UAL,2017,Q2,8622000000,56356000000,67467000000,140000000,,10000000000,8601000000,818000000
UAL,2017,Q3,8528000000,59145000000,70083000000,109000000,,9878000000,8786000000,637000000
UAL,2017,Q4,8080000000,53149000000,65028000000,73000000,11703000000,9438000000,8709000000,580000000
UAL,2018,FY,37706000000,230155000000,275262000000,334000000,12215000000,41303000000,38074000000,2129000000
UAL,2018,Q1,8149000000,49849000000,61977000000,17000000,,9032000000,8756000000,145000000
UAL,2018,Q2,9880000000,59945000000,70702000000,108000000,,10777000000,9616000000,684000000
UAL,2018,Q3,10120000000,63393000000,73681000000,127000000,,11003000000,9800000000,836000000
UAL,2018,Q4,9556000000,56968000000,68902000000,82000000,12215000000,10491000000,9839000000,462000000
UAL,2019,FY,39625000000,239360000000,284999000000,491000000,13145000000,43259000000,38958000000,3009000000
UAL,2019,Q1,8725000000,53097000000,65645000000,33000000,,9589000000,9094000000,292000000
UAL,2019,Q2,10486000000,63001000000,73240000000,161000000,,11402000000,9930000000,1052000000
UAL,2019,Q3,10481000000,64629000000,75076000000,174000000,,11380000000,9907000000,1024000000
UAL,2019,Q4,9933000000,58633000000,71038000000,123000000,13145000000,10888000000,10027000000,641000000
UAL,2020,FY,11805000000,73883000000,122804000000,0,24836000000,15355000000,21714000000,-7069000000
UAL,2020,Q1,7065000000,43229000000,60938000000,0,,7979000000,8951000000,-1704000000
UAL,2020,Q2,681000000,2970000000,8963000000,0,,1475000000,3112000000,-1627000000
UAL,2020,Q3,1649000000,10613000000,22212000000,0,,2489000000,4104000000,-1841000000
UAL,2020,Q4,2410000000,17071000000,30691000000,0,24836000000,3412000000,5547000000,-1897000000
UAL,2021,FY,20197000000,128979000000,178684000000,0,30361000000,24634000000,25656000000,-1964000000
UAL,2021,Q1,2316000000,17248000000,30370000000,0,,3221000000,4602000000,-1357000000
UAL,2021,Q2,4366000000,28514000000,39613000000,0,,5471000000,5741000000,-434000000
UAL,2021,Q3,6637000000,41031000000,53886000000,0,,7750000000,6713000000,473000000
UAL,2021,Q4,6878000000,42186000000,54815000000,0,30361000000,8192000000,8600000000,-646000000
UAL,2022,FY,40032000000,206791000000,247858000000,133000000,28283000000,44955000000,42618000000,737000000
UAL,2022,Q1,6348000000,38644000000,53264000000,0,,7566000000,8942000000,-1377000000
UAL,2022,Q2,10829000000,54302000000,62605000000,0,,12112000000,11234000000,329000000
UAL,2022,Q3,11653000000,59087000000,67695000000,8000000,,12877000000,11419000000,942000000
UAL,2022,Q4,11202000000,54758000000,64294000000,125000000,28283000000,12400000000,11023000000,843000000
UAL,2023,FY,49046000000,244435000000,291333000000,681000000,25057000000,53717000000,49506000000,2618000000
UAL,2023,Q1,10274000000,52532000000,65720000000,0,,11429000000,11472000000,-194000000
UAL,2023,Q2,13002000000,63541000000,73538000000,220000000,,14178000000,12661000000,1075000000
UAL,2023,Q3,13349000000,67691000000,78348000000,301000000,,14484000000,12745000000,1137000000
UAL,2023,Q4,12421000000,60671000000,73727000000,160000000,25057000000,13626000000,12628000000,600000000
UAL,2024,FY,51829000000,258503000000,311185000000,713000000,21680000000,57063000000,51967000000,3149000000
UAL,2024,Q1,11313000000,57427000000,71668000000,3000000,,12539000000,12440000000,-124000000
UAL,2024,Q2,13680000000,67064000000,79678000000,185000000,,14986000000,13057000000,1323000000
UAL,2024,Q3,13561000000,69549000000,81541000000,231000000,,14843000000,13278000000,965000000
UAL,2024,Q4,13275000000,64463000000,78298000000,294000000,21680000000,14695000000,13192000000,985000000
UAL,2025,FY,53438000000,271619000000,330284000000,704000000,17170000000,59070000000,54356000000,3353000000
UAL,2025,Q1,11860000000,59517000000,75155000000,43000000,,13213000000,12605000000,387000000
UAL,2025,Q2,13836000000,70088000000,84347000000,188000000,,15236000000,13911000000,973000000
UAL,2025,Q3,13815000000,73769000000,87417000000,228000000,,15225000000,13830000000,949000000
UAL,2025,Q4,13926000000,68246000000,83365000000,244000000,17170000000,15397000000,14011000000,1044000000
UAL,2026,Q1,13166000000,63385000000,77698000000,59000000,,14608000000,13611000000,699000000
UAL,2026,Q2,,,,,,,,
